Rank,Country,Continent,Region,Population_2018,Population_2019,Change
106,Paraguay,Americas,South America,6956066,7044636,1.3
107,Bulgaria,Europe,Eastern Europe,7051608,7000119,-0.7
108,Lebanon,Asia,Western Asia,6859408,6855713,-0.1
109,Libya,Africa,Northern Africa,6678559,6777452,1.5
110,Nicaragua,Americas,Central America,6465501,6545502,1.2
111,El Salvador,Americas,Central America,6420746,6453553,0.5
112,Kyrgyzstan,Asia,Central Asia,6304030,6415850,1.8
113,Turkmenistan,Asia,Central Asia,5850901,5942089,1.6
114,Singapore,Asia,South-eastern Asia,5757499,5804337,0.8
115,Denmark,Europe,Northern Europe,5752126,5771876,0.3
116,Finland,Europe,Northern Europe,5522576,5532156,0.2
117,Slovakia,Europe,Eastern Europe,5453014,5457013,0.1
118,Congo,Africa,Middle Africa,5244359,5380508,2.6
119,Norway,Europe,Northern Europe,5337962,5378857,0.8
120,Costa Rica,Americas,Central America,4999441,5047561,1
121,Palestine,Asia,Western Asia,4862979,4981420,2.4
122,Oman,Asia,Western Asia,4829473,4974986,3
123,Liberia,Africa,Western Africa,4818973,4937374,2.5
124,Ireland,Europe,Northern Europe,4818690,4882495,1.3
125,New Zealand,Oceania,Australia and New Zealand,4743131,4783063,0.8
126,Central African Republic,Africa,Middle Africa,4666368,4745185,1.7
127,Mauritania,Africa,Western Africa,4403313,4525696,2.8
128,Panama,Americas,Central America,4176869,4246439,1.7
129,Kuwait,Asia,Western Asia,4137312,4207083,1.7
130,Croatia,Europe,Southern Europe,4156405,4130304,-0.6
131,Moldova,Europe,Eastern Europe,4051944,4043263,-0.2
132,Georgia,Asia,Western Asia,4002942,3996765,-0.2
133,Eritrea,Africa,Eastern Africa,3452786,3497117,1.3
134,Uruguay,Americas,South America,3449285,3461734,0.4
135,Bosnia and Herzegovina,Europe,Southern Europe,3323925,3301000,-0.7
136,Mongolia,Asia,Eastern Asia,3170216,3225167,1.7
137,Armenia,Asia,Western Asia,2951745,2957731,0.2
138,Jamaica,Americas,Caribbean,2934847,2948279,0.5
139,Puerto Rico,Americas,Caribbean,3039596,2933408,-3.5
140,Albania,Europe,Southern Europe,2882740,2880917,-0.1
141,Qatar,Asia,Western Asia,2781682,2832067,1.8
142,Lithuania,Europe,Northern Europe,2801264,2759627,-1.5
143,Namibia,Africa,Southern Africa,2448301,2494530,1.9
144,The Gambia,Africa,Western Africa,2280094,2347706,3
145,Botswana,Africa,Southern Africa,2254068,2303697,2.2
146,Gabon,Africa,Middle Africa,2119275,2172579,2.5
147,Lesotho,Africa,Southern Africa,2108328,2125268,0.8
148,North Macedonia,Europe,Southern Europe,2082957,2083459,0
149,Slovenia,Europe,Southern Europe,2077837,2078654,0
150,Guinea-Bissau,Africa,Western Africa,1874303,1920922,2.5
151,Latvia,Europe,Northern Europe,1928459,1906743,-1.1
152,Bahrain,Asia,Western Asia,1569446,1641172,4.6
153,Trinidad and Tobago,Americas,Caribbean,1389843,1394973,0.4
154,Equatorial Guinea,Africa,Middle Africa,1308975,1355986,3.6
155,Estonia,Europe,Northern Europe,1322920,1325648,0.2
156,East Timor,Asia,South-eastern Asia,1267974,1293119,2
157,Mauritius,Africa,Eastern Africa,1189265,1198575,0.8
158,Cyprus,Asia,Western Asia,1170125,1179551,0.8
159,Eswatini (Swaziland),Africa,Southern Africa,1136281,1148130,1
160,Djibouti,Africa,Eastern Africa,958923,973560,1.5
161,Fiji,Oceania,Melanesia,883483,889953,0.7
162,Réunion,Africa,Eastern Africa,882526,888927,0.7
163,Comoros,Africa,Eastern Africa,832322,850886,2.2
164,Guyana,Americas,South America,779006,782766,0.5
165,Bhutan,Asia,Southern Asia,754388,763092,1.2
166,Solomon Islands,Oceania,Melanesia,652857,669823,2.6
167,Macau,Asia,Eastern Asia,631636,640445,1.4
168,Montenegro,Europe,Southern Europe,627809,627987,0
169,Luxembourg,Europe,Western Europe,604245,615729,1.9
170,Western Sahara,Africa,Northern Africa,567402,582463,2.7
171,Suriname,Americas,South America,575990,581372,0.9
172,Cape Verde,Africa,Western Africa,543767,549935,1.1
